sample	dataset	species	run_accession	fastq_1	fastq_2	layout	deletion_status	condition	tissue	sample_name	biological_replicate
HDFn	human_common_deletion	human	HDFn	inputs/human_common_deletion/source_bundle/HDFn_L6-ds.9767ddca162941d6b4dc7278c3ecf7b9/HDFn_S65_L006_R1_001.fastq.gz	inputs/human_common_deletion/source_bundle/HDFn_L6-ds.9767ddca162941d6b4dc7278c3ecf7b9/HDFn_S65_L006_R2_001.fastq.gz	paired	control	control	fibroblast	HDFn	HDFn
KSS-95	human_common_deletion	human	KSS-95	inputs/human_common_deletion/source_bundle/KSS-95_L6-ds.a5ed6b4a554a4f05881346756e751fc2/KSS-95_S63_L006_R1_001.fastq.gz	inputs/human_common_deletion/source_bundle/KSS-95_L6-ds.a5ed6b4a554a4f05881346756e751fc2/KSS-95_S63_L006_R2_001.fastq.gz	paired	deletion	deletion	fibroblast	KSS-95	KSS-95
KSS-96	human_common_deletion	human	KSS-96	inputs/human_common_deletion/source_bundle/KSS-96_L6-ds.1ceffe596ac54818a7295ce058f09828/KSS-96_S64_L006_R1_001.fastq.gz	inputs/human_common_deletion/source_bundle/KSS-96_L6-ds.1ceffe596ac54818a7295ce058f09828/KSS-96_S64_L006_R2_001.fastq.gz	paired	deletion	deletion	fibroblast	KSS-96	KSS-96
